web_scraper_order,web_scraper_start_url,annee marque et model,prix,kilometrage,boite de vitesse,region vente
"1786443252-194","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2007 Citroen C4","2 200 000","160 000 km","Manuelle","Dakar"
"1786443252-195","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2008 Peugeot 308","2 800 000","160 000 km","Manuelle","Dakar"
"1786443252-196","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2007 Toyota Yaris","2 700 000","180 000 km","Manuelle","Dakar"
"1786443252-197","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2011 Nissan Juke","5 500 000","157 000 km","Manuelle","Dakar"
"1786443252-198","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2007 Ford Focus","2 700 000","100 000 km","Automatique","Dakar"
"1786443252-199","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2010 Toyota Corolla","3 200 000","90 000 km","Manuelle","Dakar"
"1786443252-200","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2007 Mercedes‒Benz 190","2 900 000","160 000 km","Automatique","Dakar"
"1786443252-201","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2010 Nissan Rogue","8 500 000","84 500 km","Automatique","Dakar"
"1786443252-202","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2005 Hyundai Santa Fe","3 500 000","300 000 km","Manuelle","Dakar"
"1786443252-203","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2015 Ford Focus","5 800 000","29 000 km","Automatique","Dakar"
"1786443252-204","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2010 Peugeot 807","4 800 000","160 000 km","Manuelle","Dakar"
"1786443252-205","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2007 Peugeot 407","2 000 000","110 000 km","Manuelle","Dakar"
"1786443252-206","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2000 Peugeot 205","1 500 000","160 000 km","Manuelle","Dakar"
"1786443252-207","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2007 Toyota RAV4","4 000 000","145 000 km","Manuelle","Dakar"
"1786443252-208","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2008 Peugeot 307","2 000 000","120 000 km","Manuelle","Dakar"
"1786443252-209","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2006 Renault Scenic","2 200 000","140 000 km","Manuelle","Dakar"
"1786443252-210","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2011 Nissan Teana","8 000 000","90 000 km","Manuelle","Dakar"
"1786443252-211","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2010 Dacia Sandero","2 200 000","160 000 km","Manuelle","Dakar"
"1786443252-212","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2008 Lada Niva","1 500 000","160 000 km","Manuelle","Dakar"
"1786443252-213","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2009 Dacia Logan","2 800 000","500 000 km","Manuelle","Dakar"
"1786443252-214","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2003 Peugeot 406","2 400 000","160 000 km","Manuelle","Dakar"
"1786443252-215","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2015 Jeep Patriot","9 500 000","51 200 km","Automatique","Dakar"
"1786443252-216","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2008 Renault Scenic","2 200 000","16 000 km","Manuelle","Dakar"
"1786443252-217","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2011 Ford Escape","5 800 000","0 km","Automatique","Dakar"
"1786443252-218","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2007 Toyota RAV4","5 200 000","120 000 km","Manuelle","Dakar"
"1786443252-219","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2006 Hyundai Tucson","4 000 000","298 000 km","Manuelle","Dakar"
"1786443252-220","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2007 Citroen C3","2 400 000","180 000 km","Manuelle","Dakar"
"1786443252-221","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2000 Peugeot 205","1 400 000","160 000 km","Manuelle","Dakar"
"1786443252-222","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2005 Peugeot 307","2 100 000","160 000 km","Manuelle","Dakar"
"1786443252-223","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2013 Jeep Wrangler","20 000 000","100 000 km","Automatique","Dakar"
"1786443252-224","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2004 Peugeot 406","2 700 000","120 000 km","Manuelle","Dakar"
"1786443252-225","https://www.gaaraas.com/fr/users/dakar-auto?page=1","1989 Renault 19","1 500 000","140 000 km","Manuelle","Dakar"
"1786443252-226","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2010 Toyota RAV4","9 600 000","180 000 km","Automatique","Dakar"
"1786443252-227","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2008 Peugeot 308","2 700 000","160 000 km","Manuelle","Dakar"
"1786443252-228","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2005 Peugeot 405","1 900 000","120 000 km","Manuelle","Dakar"
"1786443252-229","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2010 Peugeot 308","2 900 000","120 000 km","Manuelle","Dakar"
"1786443252-230","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2006 Nissan 200SX","1 600 000","180 000 km","Manuelle","Dakar"
"1786443252-231","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2011 Mitsubishi L200","6 000 000","120 000 km","Manuelle","Dakar"
"1786443252-232","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2006 Citroen Berlingo","2 400 000","180 000 km","Manuelle","Dakar"
"1786443252-233","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2004 Peugeot 305","1 600 000","128 000 km","Manuelle","Dakar"
"1786443252-234","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2007 Renault Megane","2 700 000","180 000 km","Manuelle","Dakar"
"1786443252-235","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2012 Ford Focus ST","3 300 000","140 000 km","Automatique","Dakar"
"1786443252-236","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2014 Ford Escape","8 200 000","105 000 km","Manuelle","Dakar"
"1786443252-237","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2006 Citroen Xsara","1 800 000","160 000 km","Manuelle","Dakar"
"1786443252-238","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2012 Peugeot 308","3 900 000","160 000 km","Manuelle","Dakar"
"1786443252-239","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2008 Citroen C4","2 100 000","90 925 km","Manuelle","Dakar"
"1786443252-240","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2008 Renault Megane","1 850 000","120 000 km","Manuelle","Dakar"
"1786443252-241","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2008 Dacia Logan","2 600 000","137 000 km","Manuelle","Dakar"
"1786443252-242","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2007 Peugeot 307","2 100 000","175 598 km","Manuelle","Dakar"
"1786443252-243","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2006 Toyota RAV4","3 500 000","140 000 km","Manuelle","Dakar"
"1786443252-244","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2007 Fiat Stilo","2 700 000","160 000 km","Manuelle","Dakar"
"1786443252-245","https://www.gaaraas.com/fr/users/dakar-auto?page=1","2007 Audi S3","2 000 000","120 000 km","Manuelle","Dakar"
